Time,Id,Score,Badges
27-Mar-2019 12:54:26,34524,8340,10
27-Mar-2019 12:54:26,631608,8720,22
27-Mar-2019 12:54:26,1861624,9090,15
27-Mar-2019 12:54:26,3303717,8750,9
27-Mar-2019 12:54:26,3354683,8425,15
27-Mar-2019 12:54:26,5960633,9000,10
27-Mar-2019 12:54:26,7164325,9780,39
27-Mar-2019 12:54:26,8171411,9545,12
27-Mar-2019 12:54:26,8960155,8755,10
27-Mar-2019 12:54:26,11433059,9100,11
04-Apr-2019 15:56:44,34524,8340,10
04-Apr-2019 15:56:44,631608,8720,22
04-Apr-2019 15:56:44,3303717,8750,9
04-Apr-2019 15:56:44,3354683,8425,15
04-Apr-2019 15:56:44,5960633,9000,10
04-Apr-2019 15:56:44,7164325,9780,39
04-Apr-2019 15:56:44,8171411,9545,12
04-Apr-2019 15:56:44,11433059,9100,11
28-Apr-2020 11:47:18,34524,8610,11
28-Apr-2020 11:47:18,631608,9700,30
28-Apr-2020 11:47:18,1861624,9090,15
28-Apr-2020 11:47:18,3303717,12230,24
28-Apr-2020 11:47:18,3354683,8375,14
28-Apr-2020 11:47:18,5960633,9110,10
28-Apr-2020 11:47:18,7164325,11450,50
28-Apr-2020 11:47:18,8171411,9475,11
28-Apr-2020 11:47:18,8960155,8755,10
28-Apr-2020 11:47:18,11433059,10980,22
29-Jun-2022 12:16:30,34524,9200,15
29-Jun-2022 12:16:30,631608,11629,40
29-Jun-2022 12:16:30,1861624,8930,15
29-Jun-2022 12:16:30,3303717,11970,24
29-Jun-2022 12:16:30,3354683,9573,28
29-Jun-2022 12:16:30,5960633,11395,11
29-Jun-2022 12:16:30,7164325,15225,69
29-Jun-2022 12:16:30,8171411,9285,11
29-Jun-2022 12:16:30,8960155,8745,10
29-Jun-2022 12:16:30,11433059,10600,20
